file_name	pmid
GCA_900475585	no pmid
GCA_900475715	no pmid
GCA_900475725	no pmid
GCA_900475975	no pmid
GCA_900492165	no pmid
GCA_900635345	no pmid
GCA_900636415	no pmid
GCA_900636835	no pmid
GCA_901472575	no pmid
GCA_901521425	no pmid
GCA_901542385	no pmid
GCA_901543415	no pmid
GCA_902702755	no pmid
GCA_903884415	no pmid
GCA_903885985	no pmid
GCA_903886075	no pmid
GCA_903886195	no pmid
GCA_903886205	no pmid
GCA_903886285	no pmid
GCA_903886345	no pmid
GCA_903886385	no pmid
GCA_903886475	no pmid
GCA_903886635	no pmid
GCA_903890795	no pmid
GCA_903890815	no pmid
GCA_903890825	no pmid
GCA_903890905	no pmid
GCA_903890925	no pmid
GCA_903890945	no pmid
GCA_903891015	no pmid
GCA_903891025	no pmid
GCA_903891105	no pmid
GCA_903891135	no pmid
GCA_903891195	no pmid
GCA_903891205	no pmid
GCA_903891245	no pmid
GCA_903891305	no pmid
GCA_903960675	no pmid
GCA_949788785	no pmid
GCA_949788915	no pmid
GCA_949788945	no pmid
GCA_949789875	no pmid
GCA_965111685	no pmid
GCA_965111725	no pmid
GCA_965111735	no pmid
